name,domain,year founded,industry,size range,city, state,country, linkedin url,current employee estimate,total employee estimate,Score,reviews,salaries,interviews,KMT,market_cap,enterprise_value,trailing_pe,forward_pe,peg_ratio_5,price_sales,price_book,enterprise_value_revenue,enterprise_value_ebitda,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue,revenue_per_share,quarterly_revenue_share,gross_profit,ebitda,net_income_avi_to_common,diluted_eps,quarterly_earnings_growth,total_cash,total_cash_per_share,total_dept,total_dept_per_equity,operating_cash_flow,leveraged_free_cash_flow,stock_beta_3y,stock 52_week,stock_sp500_52_week,stock_52_week_high,stock_52_week_low,website_rank,organic_traffic,traffic_cost
wake,wakeinternational.org,2014.0,international affairs,11 - 50,san francisco, california, united states,linkedin.com/company/wake-women's-alliance-for-knowledge-exchange,8,14,4.2,255.0,365,32,CWK,4170000000.0,7170000000.0,,10.51,1.49,0.49,3.38,0.84,17.68,-0.0024,0.0124,0.0101,-0.0158,8550000000.000002,39.7,0.021,1580000000.0,405400000.0,-20900000.0,-0.1,,400100000.0,1.83,3370000000.0,273.04,-62700000.0,100790000.0,,0.0481,0.1325,20.62,13.25,N/A,N/A,N/A
ameren,ameren.com,1902.0,utilities,5001 - 10000,st. louis, missouri, united states,linkedin.com/company/ameren,2977,4667,3.7,250.0,334,110,AEE,18580000000.0,28140000000.0,23.23,21.72,4.84,3.23,2.31,4.9,12.07,0.1396,0.2331,0.0302,0.10099999999999999,5740000000.0,23.42,-0.038,2790000000.0,2330000000.0,802000000.0,3.25,0.02,20000000.0,0.08,9570000000.0,116.64,2150000000.0,-569250000.0,0.21,0.0693,0.1325,80.85,62.51,24109,297.63K,$3.89K
tenaris,tenaris.com,2002.0,oil & energy,5001 - 10000,houston, texas, united states,linkedin.com/company/tenaris,4706,11366,3.9,760.0,846,151,TS,11760000000.0,12430000000.0,15.64,15.03,2.14,1.54,1.07,1.62,8.63,0.1066,0.1272,0.041100000000000005,0.0675,7660000000.0,12.97,-0.071,2510000000.0,1440000000.0,816740000.0,1.38,-0.569,1860000000.0,3.15,1180000000.0,9.69,1500000000.0,1180000000.0,0.89,-0.23010000000000005,0.1325,30.32,19.9,79936,56.39K,$1.31K
zscaler,zscaler.com,2008.0,computer & network security,1001 - 5000,san jose, california, united states,linkedin.com/company/zscaler,651,1067,4.6,521.0,307,150,ZS,5710000000.0,5340000000.0,,166.0,1.3,18.86,18.48,17.64,-416.49,-0.0946,-0.07339999999999999,-0.0264,-0.1044,302840000.0,2.45,0.5329999999999999,243170000.0,-12820000.0,-28660000.0,-0.23,,364650000.0,2.86,,1.5,58030000.0,68620000.0,,0.0922,0.1325,89.54,30.72,117759,31.03K,$24.87K
yext,yext.com,2006.0,internet,1001 - 5000,new york, new york, united states,linkedin.com/company/yext,613,1179,4.2,263.0,316,239,YEXT,1860000000.0,1700000000.0,,-49.91,-7.76,7.05,8.24,6.45,-20.89,-0.3289,-0.337,-0.1572,-0.5761999999999999,263450000.0,2.51,0.318,170870000.0,-81400000.0,-86650000.0,-0.83,,274200000.0,2.43,115610000.0,51.35,-2360000.0,30260000.0,1.28,-0.0566,0.1325,23.32,12.9,12699,682.60K,$8.70K
trc,trcsolutions.eu,1991.0,computer software,201 - 500,dundrum, dublin, ireland,linkedin.com/company/total-retail-control-ltd,102,146,3.2,249.0,313,40,ATRC,1110000000.0,1110000000.0,,-27.31,-1.52,5.0,4.31,4.98,-59.48,-0.1013,-0.1251,-0.0418,-0.1068,222380000.0,5.98,0.134,147120000.0,-18610000.0,-22530000.0,-0.61,,79740000.0,2.02,76410000.0,29.59,-11300000.0,-1610000.0,0.27,-0.1197,0.1325,34.39,22.57,N/A,N/A,N/A
invitation homes,invitationhomes.com,2012.0,real estate,501 - 1000,dallas, texas, united states,linkedin.com/company/invitation-homes,500,1249,3.3,241.0,169,36,INVH,16059999999.999996,24780000000.0,132.58,114.73,36.69,9.16,1.98,14.14,25.8,0.0677,0.2454,0.0149,0.0144,1750000000.0,3.33,0.021,1000000000.0,960380000.0,118240000.0,0.22,32.046,84610000.0,0.16,9020000000.0,110.36,639010000.0,617560000.0,0.41,0.3877,0.1325,31.32,19.21,69679,68.85K,$5.33K
el pollo loco,elpolloloco.com,1975.0,restaurants,501 - 1000,costa mesa, california, united states,linkedin.com/company/el-pollo-loco,482,1159,2.7,248.0,233,56,LOCO,515920000.0,826260000.0,,18.72,1.39,1.17,2.15,1.87,13.91,-0.0046,0.0939,0.0479,-0.0076,441040000.0,11.67,-0.001,96450000.0,59380000.0,-2010000.0,-0.05,-0.063,12070000.0,0.35,317880000.0,132.44,35740000.0,35330000.0,0.59,-0.061,0.1325,18.47,9.6,16925,472.13K,$3.46K
horace mann,horacemann.com,1945.0,insurance,1001 - 5000,springfield, illinois, united states,linkedin.com/company/horace-mann,1358,2711,3.5,247.0,153,38,HMN,1820000000.0,2030000000.0,14.19,16.68,1.62,1.32,1.15,1.48,9.34,0.0952,0.1527,0.0111,0.091,1380000000.0,33.06,0.07400000000000001,237950000.0,217670000.0,131190000.0,3.12,1.032,277170000.0,6.72,451390000.0,28.59,190650000.0,-2320000000.0,0.61,0.1494,0.1325,48.15,34.38,190838,14.28K,$3.47K
mongodb,mongodb.com,2007.0,computer software,1001 - 5000,new york, new york, united states,linkedin.com/company/mongodbinc,743,1305,4.6,349.0,244,289,MDB,7370000000.0,7110000000.0,,-172.28,,21.31,30.76,20.56,-68.43,-0.3331,-0.3212,-0.0988,-0.5146000000000001,346020000.0,6.38,0.667,193450000.0,-103970000.0,-115250000.0,-2.12,,436050000.0,7.74,301890000.0,126.13,-26470000.0,-21960000.0,0.06,0.6244,0.1325,184.78,65.62,10520,866.30K,$73.47K
mktg,mktg.com,1992.0,marketing and advertising,1001 - 5000,new york, new york, united states,linkedin.com/company/mktg_inc,1530,4379,3.9,266.0,273,56,OGSM,693030.0,932720.0,,,,1.74,,2.34,-1.6,-1.4579,-1.4675,-1.9018,,399340.0,0.03,1.9709999999999999,93590.0,-582440.0,-582200.0,-0.041,,42610.0,0.0,535940.0,,-116660.0,64830.0,0.07,-0.5471,0.1325,0.1,0.02,291146,6.98K,$593
allianz,allianz.com,1890.0,financial services,10001+,munich, bavaria, germany,linkedin.com/company/allianz,18824,40564,3.7,1900.0,2400.0,450,ACV,249970000.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0724,0.1325,24.76,17.51,41381,143.66K,$15.52K
genco,genco.com,1898.0,logistics and supply chain,1001 - 5000,pittsburgh, pennsylvania, united states,linkedin.com/company/genco,1470,3744,3.1,256.0,1100.0,41,GENC,180600000.0,71000000.0,13.21,,,2.07,1.18,0.81,4.72,0.16010000000000002,0.15439999999999998,0.0543,0.0963,87390000.0,6.01,-0.21899999999999997,26620000.0,15050000.0,13990000.0,0.94,-0.08900000000000001,111200000.0,7.65,,,-16890000.0,-9220000.0,0.9,0.0802,0.1325,14.64,10.5,N/A,N/A,N/A
anaplan,anaplan.com,2006.0,information technology and services,1001 - 5000,san francisco, california, united states,linkedin.com/company/anaplan,735,1134,3.9,309.0,165,127,PLAN,6490000000.0,6090000000.0,,-109.11,,22.26,21.26,20.87,-41.78,-0.5542,-0.5532,-0.24100000000000002,-0.8590000000000001,291630000.0,2.77,0.462,173240000.0,-145650000.0,-161620000.0,-1.54,,355960000.0,2.7,53420000.0,17.57,-26960000.0,52510000.0,,1.1033,0.1325,60.36,20.6,169958,17.24K,$13.60K
pluralsight,pluralsight.com,2004.0,e-learning,1001 - 5000,farmington, utah, united states,linkedin.com/company/pluralsight,1160,1456,4.2,259.0,179,106,PS,2450000000.0,1890000000.0,,-36.17,0.36,8.28,9.33,6.41,-14.38,-0.3307,-0.4877,-0.1257,-0.6412,295360000.0,3.48,0.342,169430000.0,-131590000.0,-97670000.0,-1.15,,449470000.0,4.42,501880000.0,194.67,4580000.0,34640000.0,,-0.1967,0.1325,35.7,14.84,10797,839.76K,$96.94K
wilson,iwilson.com,1921.0,oil & energy,501 - 1000,houston, texas, united states,linkedin.com/company/wilson,330,730,2.9,241.0,259,53,KW,3180000000.0,8090000000.0,33.1,-56.35,8.65,4.72,2.6,11.99,36.12,0.1437,0.0618,0.0036,0.1436,674300000.0,4.81,-0.10800000000000001,479000000.0,223900000.0,96600000.0,0.68,0.711,385800000.0,2.71,5150000000.0,403.36,-38200000.0,58350000.0,1.11,0.2154,0.1325,23.5,17.25,N/A,N/A,N/A
ntb,ntb.no,1867.0,media production,501 - 1000,oslo, oslo, norway,linkedin.com/company/ntb,308,528,3.6,242.0,227,43,EB,1690000000.0,1240000000.0,,-33.35,-0.53,5.28,4.01,3.88,-26.97,-0.2124,-0.2078,-0.0469,-0.1616,320050000.0,3.97,0.114,170960000.0,-46100000.0,-67990000.0,-0.84,,485200000.0,5.75,27590000.0,6.55,34870000.0,59780000.0,,-0.3048,0.1325,33.82,15.3,N/A,N/A,N/A
commscope,commscope.com,1976.0,telecommunications,5001 - 10000,hickory, north carolina, united states,linkedin.com/company/commscope,3701,6234,3.3,362.0,587,81,COMM,2900000000.0,13730000000.0,,6.61,1.61,0.41,2.39,1.93,12.9,-0.0726,0.0654,0.0265,-0.2602,7100000000.0,36.77,1.069,1690000000.0,1060000000.0,-545980000.0,-2.83,,609100000.0,3.14,10380000000.0,469.65,392640000.0,65950000.0,1.53,-0.1907,0.1325,27.0,9.52,128441,27.03K,$9.71K
tenable,tenable.com,2002.0,computer & network security,1001 - 5000,columbia, maryland, united states,linkedin.com/company/tenableinc,667,1025,3.4,276.0,204,87,TENB,2590000000.0,2300000000.0,,-71.49,-6.34,7.79,21.03,6.93,-29.85,-0.2414,-0.2489,-0.105,-0.6281,332760000.0,3.51,0.32299999999999995,224190000.0,-77220000.0,-80320000.0,-0.85,,296640000.0,3.03,41760000.0,33.9,-9230000.0,9130000.0,,-0.0902,0.1325,36.26,20.0,50627,109.04K,$26.58K
inmar,inmar.com,1980.0,information technology and services,1001 - 5000,winston salem, north carolina, united states,linkedin.com/company/inmar,895,1720,3.2,239.0,209,57,WINA,680170000.0,713340000.0,23.4,,,9.38,,9.84,16.7,0.4324,0.5845,0.5349,,72490000.0,18.83,0.028999999999999998,67800000.0,42720000.0,31350000.0,7.59,0.09,7490000.0,1.95,37060000.0,,45390000.0,18840000.0,0.23,0.1808,0.1325,194.85,144.36,N/A,N/A,N/A
fleetcor,fleetcor.com,2000.0,financial services,1001 - 5000,norcross, georgia, united states,linkedin.com/company/fleetcor,864,1833,2.8,297.0,245,64,FLT,25250000000.0,28740000000.0,27.27,21.48,1.67,9.74,6.47,11.08,19.81,0.3708,0.4656,0.0646,0.2577,2590000000.0,29.93,0.099,1950000000.0,1450000000.0,961560000.0,10.67,0.4320000000000001,1060000000.0,12.2,4570000000.0,117.11,1140000000.0,760350000.0,1.11,0.4668,0.1325,304.65,172.18,242838,9.55K,$560
zuora,zuora.com,2007.0,internet,1001 - 5000,foster city, california, united states,linkedin.com/company/zuora,549,1041,4.2,301.0,279,143,ZUO,1660000000.0,1500000000.0,,-52.82,,6.42,9.64,5.79,-19.67,-0.3195,-0.3251,-0.175,-0.4988,258740000.0,2.39,0.205,118610000.0,-76170000.0,-82660000.0,-0.76,,174620000.0,1.55,12740000.0,7.4,-24470000.0,-21350000.0,,-0.3056,0.1325,24.65,13.04,96040,42.50K,$18.68K
universal technical institute,uti.edu,1965.0,higher education,1001 - 5000,scottsdale, arizona, united states,linkedin.com/company/universal-technical-institute,1766,3567,2.7,244.0,195,56,UTI,140730000.0,207980000.0,,-78.57,-0.32,0.43,3.35,0.64,-23.1,-0.0751,-0.075,-0.05860000000000001,-0.1953,324090000.0,12.78,0.055,170940000.0,-9010000.0,-29600000.0,-1.17,,42690000.0,1.67,41060000.0,37.08,1850000.0,-2440000.0,1.17,1.0755,0.1325,6.07,2.61,61805,82.22K,$22.03K
dmi,dmi.dk,1872.0,government relations,501 - 1000,copenhagen, capital region, denmark,linkedin.com/company/dmi,234,480,3.6,298.0,279,48,ADM,23840000000.0,32950000000.000008,20.39,13.05,-1.91,0.37,1.26,0.51,13.08,0.018500000000000003,0.024,0.0237,0.063,64269999999.999985,113.96,0.059000000000000004,4180000000.0,2520000000.0,1190000000.0,2.1,-0.24100000000000002,958000000.0,1.72,9760000000.0,51.52,-4740000000.0,1260000000.0,1.1,-0.0626,0.1325,48.31,36.45,55304,96.13K,$299
realnetworks,realnetworks.com,1995.0,computer software,501 - 1000,seattle, washington, united states,linkedin.com/company/realnetworks,339,2632,2.4,276.0,586,22,RNWK,59090000.0,64200000.0,,,,0.41,1.37,0.44,-2.77,-0.1414,-0.1926,-0.1329,-0.3991,145270000.0,3.84,1.5590000000000002,51780000.0,-23180000.0,-20540000.0,-0.542,,18100000.0,0.47,21790000.0,49.6,-23890000.0,37070000.0,0.97,-0.313,0.1325,3.41,1.34,139652,23.65K,$463
essex property trust,essexpropertytrust.com,1971.0,real estate,1001 - 5000,palo alto, california, united states,linkedin.com/company/essex-property-trust,695,1470,3.2,235.0,329,44,ESS,20690000000.0,26730000000.0,48.25,53.26,6.5,14.0,3.32,18.08,26.86,0.2898,0.3475,0.0252,0.0702,1480000000.0,22.45,0.057,1030000000.0,995000000.0,428290000.0,6.49,0.22699999999999998,74530000.0,1.13,6130000000.0,94.91,852340000.0,539010000.0,0.31,0.2326000000000001,0.1325,334.17,235.51,N/A,N/A,N/A
autoliv,autoliv.com,1953.0,automotive,10001+,ase, vasternorrlands lan, sweden,linkedin.com/company/autoliv,6496,14661,3.7,503.0,737,73,ALV,7210000000.0,9260000000.0,33.55,12.02,4.53,0.84,3.63,1.08,8.7,0.0251,0.0902,0.0722,0.1057,8550000000.000002,98.07,-0.003,1710000000.0,1060000000.0,212900000.0,2.46,-0.273,334400000.0,3.84,2260000000.0,113.03,617800000.0,349400000.0,1.39,-0.002,0.1325,91.0,61.07,134195,25.20K,$76
citadel,citadelband.com,1979.0,music,51 - 200,columbus, ohio, united states,linkedin.com/company/citadel,66,81,4.3,269.0,587,310,BLUBF,88180000.0,88560000.0,,,,,,,,-0.062,0.0,-0.0006,-0.001,,,,-22310000.0,,,,,,,,,,,1.04,-0.018000000000000002,0.1325,6.4,5.37,N/A,N/A,N/A
valeo,valeo.com,1923.0,automotive,10001+,paris, île-de-france, france,linkedin.com/company/valeo,19383,48834,3.4,1700.0,2000.0,437,VLEEF,9360000000.0,8840000000.0,9.15,,,,1.67,,,0.0134,0.0,0.0312,0.0655,,,-0.009000000000000001,3670000000.0,,,4.04,-0.642,,,,107.31,,,1.73,0.29600000000000004,0.1325,37.12,25.99,61455,82.85K,$1.05K
fortinet,fortinet.com,2000.0,computer & network security,5001 - 10000,sunnyvale, california, united states,linkedin.com/company/fortinet,2730,4369,4.4,747.0,682,260,FTNT,17050000000.0,15200000000.0,44.18,37.61,2.25,8.32,14.22,7.42,40.92,0.1923,0.1517,0.0616,0.3766,2050000000.0,12.0,0.20600000000000002,1350000000.0,371500000.0,393900000.0,2.26,0.359,1940000000.0,11.35,41600000.0,3.47,797800000.0,608510000.0,1.08,0.3744,0.1325,100.31,64.41,18301,424.63K,$112.37K
ms companies,mscompanies.com,1999.0,staffing and recruiting,501 - 1000,indianapolis, indiana, united states,linkedin.com/company/ms-companies,446,790,3.1,228.0,97,25,WMB,26710000000.0,52210000000.0,176.32,20.04,2.82,3.22,1.97,6.29,12.98,0.0187,0.2787,0.0309,0.0138,8300000000.000002,6.84,-0.132,4330000000.0,4020000000.0,152000000.0,0.12,0.713,247000000.0,0.2,22470000000.0,133.28,3660000000.0,746880000.0,1.54,-0.1184,0.1325,29.55,20.36,N/A,N/A,N/A
gfk,gfk.com,1934.0,market research,10001+,nuremberg, bayern, germany,linkedin.com/company/gfk,7104,23895,3.2,901.0,1000.0,176,GFKRF,,1900000.0,,,,,,,,0.0,0.0,-0.2242,-0.40700000000000003,,,,,,,,,,,,,,,-0.27,0.5,0.1325,0.03,0.02,61409,82.93K,$1.94K
spx,spx.lv,2005.0,information technology and services,501 - 1000,riga, riga, latvia,linkedin.com/company/spx,195,337,2.8,268.0,419,58,FLOW,1910000000.0,2520000000.0,82.08,21.38,2.2,0.93,1.98,1.23,10.02,0.0114,0.0952,0.0475,0.037000000000000005,2050000000.0,48.38,-0.057,656400000.0,251200000.0,34700000.0,0.55,,217600000.0,5.11,777300000.0,79.52,156700000.0,-160180000.0,2.13,0.2465,0.1325,47.92,27.23,N/A,N/A,N/A
ppl,ppluk.com,1934.0,music,1001 - 5000,london, london, united kingdom,linkedin.com/company/ppl_3,616,1138,2.5,246.0,213,51,AAOI,228070000.0,302490000.0,,-21.4,-1.02,1.14,0.75,1.51,-13.1,-0.1957,-0.2446,-0.0634,-0.1229,200230000.0,10.06,-0.183,87770000.0,-23100000.0,-39190000.0,-1.97,,69990000.0,3.48,137980000.0,45.65,-10190000.0,-33010000.0,2.03,-0.4536,0.1325,21.92,8.34,445752,3.33K,$172
enterprise products,enterpriseproducts.com,1968.0,oil & energy,5001 - 10000,houston, texas, united states,linkedin.com/company/enterprise-products,3239,4966,3.6,229.0,316,49,EPD,58030000000.0,85350000000.0,12.21,11.83,1.62,1.71,2.37,2.51,11.03,0.1407,0.17120000000000002,0.0612,0.1985,33970000000.0,15.53,-0.16899999999999998,5180000000.0,7730000000.0,4750000000.0,2.17,-0.22399999999999998,1210000000.0,0.55,28280000000.0,110.79,6680000000.0,76410000.0,0.84,-0.0188,0.1325,30.87,23.33,118051,30.91K,$636
orange,orange.com,1988.0,telecommunications,10001+,paris, île-de-france, france,linkedin.com/company/orange,36340,92180,3.8,3400.0,3200.0,574,ORAN,42400000000.0,42260000000.0,18.14,,,,1.19,,,0.0529,0.0,0.0308,0.0737,,,0.015,15780000000.0,,,0.88,0.317,,,,132.49,,,0.41,-0.0409,0.1325,17.06,14.57,1228,10.53M,$10.65K
informa,informa.com,1998.0,information services,1001 - 5000,london, greater london, united kingdom,linkedin.com/company/informa,1680,5374,3.2,653.0,767,122,CASS,851600000.0,637470000.0,27.72,,,5.25,3.45,3.93,11.83,0.1918,0.2658,0.0156,0.1306,162070000.0,11.19,0.085,66120000.00000001,53900000.0,31090000.0,2.12,0.076,222740000.0,15.36,7020000.0,2.85,49310000.0,-20050000.0,0.56,0.0472,0.1325,60.97,44.35,27953,244.20K,$15.67K
cardno,cardno.com,1984.0,design,1001 - 5000,los alamitos, california, united states,linkedin.com/company/cardno,1684,4198,3.3,325.0,617,41,COLDF,144650000.0,155370000.0,,,,,0.41,,,-0.0337,0.0,0.0197,-0.08789999999999999,,,0.254,98190000.0,,,-0.022,,,,,31.16,,,0.64,-0.5333,0.1325,0.83,0.35,215454,11.68K,$793
octagon,octagon.com,1983.0,marketing and advertising,1001 - 5000,norwalk, connecticut, united states,linkedin.com/company/octagon,904,4591,3.7,252.0,355,86,XFLT,74060000.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,-0.0011,0.1325,9.68,6.96,23315,308.91K,$453
mizuho financial group,mizuho-fg.co.jp,2000.0,banking,201 - 500,tokyo, tokyo, japan,linkedin.com/company/mizuho-financial-group,80,144,2.9,523.0,655,126,MFG,39910000000.0,40330000000.0,7.14,,,,0.48,,,0.0378,0.0,0.0006,0.0127,,,-0.057,2560000000000.0,,,0.444,0.009000000000000001,,,,,,,1.05,-0.0536,0.1325,3.5,2.66,N/A,N/A,N/A
wwe,wwe.com,1952.0,entertainment,1001 - 5000,stamford, connecticut, united states,linkedin.com/company/world-wrestling-entertainment,1717,3917,3.4,237.0,234,43,WWE,4450000000.0,4680000000.0,99.96,21.58,1.91,4.89,14.58,5.15,40.7,0.0539,0.081,0.0546,0.17129999999999998,910150000.0,11.65,-0.011000000000000001,327540000.0,115100000.0,49030000.0,0.54,-0.828,231350000.0,2.94,577770000.0,197.19,67510000.0,10780000.0,1.3,-0.1891,0.1325,100.45,52.69,572,23.45M,$84.68K
constellation brands,cbrands.com,1945.0,wine and spirits,1001 - 5000,victor, new york, united states,linkedin.com/company/constellation-brands,2359,4288,3.2,274.0,344,81,STZ,35440000000.0,48850000000.0,46.08,19.89,3.6,4.32,3.08,5.95,16.39,0.094,0.32270000000000004,0.0641,0.0695,8210000000.000002,43.02,0.02,4100000000.0,2980000000.0,772000000.0,3.99,,81400000.0,0.43,13540000000.0,115.78,2330000000.0,771700000.0,0.67,-0.0689,0.1325,214.48,150.37,158599,19.23K,$911
one medical,onemedical.co.uk,2004.0,construction,11 - 50,west yorkshire, kirklees, united kingdom,linkedin.com/company/one-medical,6,17,3.6,222.0,246,161,NMTC,24040000.0,27760000.0,,,,,,,-4.69,0.0,0.0,,,,,,,-5910000.0,-8029999.999999999,-0.731,,1250000.0,0.09,,,-5330000.0,,0.47,-0.5897,0.1325,9.89,1.21,N/A,N/A,N/A
carbonite,carbonite.com,2005.0,computer software,1001 - 5000,boston, massachusetts, united states,linkedin.com/company/carbonite,509,1042,3.4,237.0,327,42,CARB,803760000.0,1330000000.0,,10.73,0.78,1.98,3.26,3.28,41.69,-0.0555,-0.0269,-0.0076,-0.0915,405290000.0,11.79,0.617,226650000.0,31860000.0,-22510000.0,-0.65,,98540000.0,2.85,634190000.0,257.66,88060000.0,137090000.0,0.74,-0.1823,0.1325,29.77,11.86,42150,139.83K,$23.47K
briggs & stratton,basco.com,1908.0,consumer goods,1001 - 5000,milwaukee, wisconsin, united states,linkedin.com/company/briggs-&-stratton,1724,3883,3.3,234.0,378,24,BGG,280820000.0,944520000.0,,11.2,-0.89,0.15,0.68,0.5,32.46,-0.025,-0.0203,-0.0142,-0.1008,1870000000.0,45.0,0.124,312920000.0,29090000.0,-47220000.0,-1.14,,48740000.0,1.15,672510000.0,164.9,-60340000.0,-89450000.0,1.29,-0.5626,0.1325,16.11,3.96,69407,69.27K,$156
myriad genetics,myriad.com,1992.0,medical devices,1001 - 5000,salt lake city, utah, united states,linkedin.com/company/myriad-genetics,993,2066,3.7,225.0,251,73,MYGN,1790000000.0,1960000000.0,,16.41,2.95,2.15,1.67,2.35,26.53,-0.0183,0.0011,0.0003,-0.0141,835100000.0,11.34,-0.079,650100000.0,73800000.0,-15300000.0,-0.21,,142600000.0,1.92,300600000.0,27.98,91700000.0,73330000.0,0.97,-0.2194,0.1325,48.4,20.1,74426,62.45K,$3.13K
osram,osram.com,1919.0,electrical/electronic manufacturing,10001+,munich, bavaria, germany,linkedin.com/company/osram,4237,9208,3.6,455.0,658,76,OSAGF,4270000000.0,,26.6,,,,1.44,,,-0.0557,0.0,-0.0276,-0.069,,,-0.092,1310000000.0,,,1.65,,,,,30.99,,,0.73,0.1567,0.1325,47.01,29.0,33488,192.25K,$4.96K
digital realty,digitalrealty.com,2004.0,information technology and services,1001 - 5000,san francisco, california, united states,linkedin.com/company/digitalrealty,897,1533,4.4,257.0,190,52,DLR,24240000000.0,38240000000.0,116.01,72.58,6.01,7.56,2.91,11.93,21.6,0.092,0.198,0.0178,0.0288,3210000000.0,15.44,0.012,1990000000.0,1770000000.0,208660000.0,1.0,-0.24100000000000002,9420000.0,0.05,11790000000.0,115.27,1460000000.0,160580000.0,0.4,0.0438,0.1325,136.32,100.05,200097,13.19K,$4.64K
rapid7,rapid7.com,2000.0,computer & network security,1001 - 5000,boston, massachusetts, united states,linkedin.com/company/rapid7,872,1637,3.9,271.0,396,145,RPD,2580000000.0,2540000000.0,,193.67,-2782.61,8.49,29.91,8.37,-91.04,-0.1727,-0.1423,-0.0471,-0.5859000000000001,304070000.0,6.31,0.33299999999999996,173010000.0,-27940000.0,-52520000.0,-1.1,,246740000.0,5.0,262200000.0,304.26,2690000.0,22060000.0,1.21,0.5590999999999999,0.1325,66.01,26.27,5860,1.77M,$80.99K
trueblue,trueblue.it,2003.0,information technology and services,201 - 500,verona, veneto, italy,linkedin.com/company/trueblue-srl,91,142,2.7,233.0,156,30,TBI,892860000.0,921990000.0,13.1,11.69,1.14,0.37,1.39,0.38,7.49,0.0285,0.0347,0.0464,0.1148,2430000000.0,61.94,-0.064,665600000.0,123120000.0,69250000.0,1.75,0.094,23560000.0,0.63,82860000.0,13.35,109600000.0,79390000.0,1.64,-0.0663,0.1325,25.75,18.62,N/A,N/A,N/A
performance,newperformance.biz,1988.0,environmental services,11 - 50,columbus, ohio, united states,linkedin.com/company/performance,24,32,3.4,232.0,341,31,KRA,749160000.0,2250000000.0,8.44,7.72,1.35,0.41,0.96,1.22,8.14,0.0489,0.07730000000000001,0.0305,0.126,1840000000.0,58.38,-0.151,580610000.0,276510000.0,89270000.0,2.8,-0.5589999999999999,83260000.0,2.63,1550000000.0,188.71,228760000.0,102620000.0,2.31,-0.0959,0.1325,40.76,19.13,N/A,N/A,N/A
deutsch,deutschinc.com,1969.0,marketing and advertising,1001 - 5000,new york, new york, united states,linkedin.com/company/deutsch,775,3993,3.2,229.0,341,36,DB,15130000000.0,15760000000.0,,26.96,-4.09,,0.19,,,-0.1892,0.0,-0.0029,-0.06280000000000001,,,-0.16399999999999998,24830000000.0,,,-1.12,,,,,,,,1.61,-0.2293,0.1325,10.03,6.44,N/A,N/A,N/A
sensata technologies,sensata.com,2006.0,electrical/electronic manufacturing,5001 - 10000,attleboro, massachusetts, united states,linkedin.com/company/sensata-technologies,3337,5776,3.3,384.0,688,161,ST,8270000000.0,10990000000.0,17.56,14.15,1.85,2.4,3.19,3.18,12.56,0.14,0.1819,0.0581,0.1949,3450000000.0,21.26,-0.027000000000000003,1280000000.0,875520000.0,483280000.0,2.97,-0.526,721390000.0,4.54,3310000000.0,127.29,633950000.0,353920000.0,1.4,0.11199999999999999,0.1325,54.72,40.78,348750,5.13K,$260
ccc,nortal.com,1985.0,information technology and services,5001 - 10000,oulu, northern ostrobothnia, finland,linkedin.com/company/nortal-oy,1915,2324,3.7,233.0,323,54,CCCL,4720000.0,4780000.0,,,,,0.04,,,-1.6874,0.0,-0.606,-1.5438999999999998,,,-0.501,-1170000.0,,,-5.832000000000002,,,,,49.87,,,0.62,-0.6162,0.1325,2.35,0.61,N/A,N/A,N/A
engie,engie.com,2008.0,oil & energy,10001+,la defense, hauts-de-seine, france,linkedin.com/company/engie,9254,21577,3.3,226.0,323,41,EGIEY,8420000000.0,9320000000.0,15.11,,,,5.15,,,0.2635,0.0,0.1015,0.34600000000000003,,,0.002,3920000000.0,,,0.73,0.563,,,,186.2,,,0.36,0.3157,0.1325,12.96,7.5,30107,221.19K,$8.12K
just energy,justenergy.com,1997.0,oil & energy,1001 - 5000,houston, texas, united states,linkedin.com/company/just-energy_2,876,2512,3.3,437.0,402,157,JE,361710000.0,351250000.0,1.36,4.6,,,,,,-0.1017,0.0,0.0031,,,,-0.045,712220000.0,,,1.76,,,,,,,,0.92,-0.4051,0.1325,4.42,1.08,54159,99.30K,$12.67K
kennametal,kennametal.com,1938.0,machinery,5001 - 10000,latrobe, pennsylvania, united states,linkedin.com/company/kennametal,3313,6794,3.3,350.0,431,58,KMT,2780000000.0,3340000000.0,14.57,14.14,-13.64,1.2,2.14,1.45,8.62,0.08310000000000001,0.1179,0.0665,0.15130000000000002,2310000000.0,27.93,-0.11699999999999999,834000000.0,387590000.0,191690000.0,2.3,-0.8859999999999999,113520000.0,1.37,640280000.0,47.87,318860000.0,76880000.0,2.27,-0.17379999999999998,0.1325,43.98,27.49,110402,34.30K,$3.06K
cdm,cdmlift.com,1984.0,pharmaceuticals,51 - 200,rock tavern, new york, united states,linkedin.com/company/cdm,94,133,3.2,237.0,407,35,CDMO,302000000.0,300700000.0,,179.0,,5.37,6.08,5.34,-72.6,-0.0963,-0.1239,-0.0467,-0.1176,56270000.0,1.0,0.212,7220000.0,-4140000.0,-10950000.0,-0.18,,28940000.0,0.51,24830000.0,49.98,-6620000.0,-2250000.0,2.69,0.1315,0.1325,7.15,3.37,N/A,N/A,N/A
